region,urban_rural,total_accidents,high_severity_accidents,avg_poi_count,high_severity_percentage
Midwest,Rural,638039,179655,0.3671029513869842,28.16
Midwest,Urban,221579,76930,0.5099716128333461,34.72
Northeast,Rural,808489,183887,0.40099617929248266,22.74
Northeast,Urban,45596,12501,0.8375076761119397,27.42
Southeast,Rural,1859108,340049,0.3645301940500498,18.29
Southeast,Urban,669113,127997,0.6058842078991142,19.13
Southwest,Rural,180596,44367,0.40795477197723096,24.57
Southwest,Urban,633130,115242,0.7192377552793265,18.2
West,Rural,1650014,275915,0.27952853733362265,16.72
West,Urban,481127,110404,0.5201745069389163,22.95
