State,region,urban_rural,accident_count,avg_severity,high_severity_count,avg_poi_count,high_severity_rate
CA,West,Rural,1259088,2.1631307740205608,202248,0.28405957327843645,16.06
FL,Southeast,Rural,558075,2.1392214308112707,74822,0.518822738879183,13.41
TX,Southwest,Urban,459747,2.2064157025494455,95149,0.6113449353666256,20.7
SC,Southeast,Rural,371783,2.1115032155854356,44931,0.2903763754663339,12.09
CA,West,Urban,370052,2.2204987407175207,81574,0.4207165479446132,22.04
NY,Northeast,Rural,294761,2.2786562672809496,74347,0.4811694898578849,25.22
VA,Southeast,Rural,260480,2.2803363022113023,61428,0.31723740786240784,23.58
PA,Northeast,Rural,242926,2.1869128870520242,35549,0.41422079151675817,14.63
FL,Southeast,Urban,222821,2.191871502237222,40417,0.5807935517747429,18.14
NC,Southeast,Urban,213258,2.06369280402142,16132,0.8205835185549897,7.56
IL,Midwest,Rural,132648,2.334004282009529,42555,0.655192690428804,32.08
MI,Midwest,Rural,131867,2.3188439867442194,36737,0.38427354834795663,27.86
MN,Midwest,Rural,128541,2.143425055040804,18148,0.21540986922460537,14.12
OR,West,Rural,128335,2.1022402306463555,9487,0.1657303151907118,7.39
NJ,Northeast,Rural,121437,2.2512496191440827,25732,0.26528158633694837,21.19
MD,Southeast,Rural,118365,2.336957715540912,31413,0.3284247877328602,26.54
LA,Southeast,Rural,116718,2.131128017957813,15543,0.30981510992306244,13.32
TX,Southwest,Rural,103795,2.3326171780914304,31668,0.292885013728985,30.51
AL,Southeast,Rural,97671,2.2444942715852196,23018,0.29775470712903523,23.57
NC,Southeast,Rural,97342,2.264767520700212,20756,0.3218240841568901,21.32
OH,Midwest,Rural,96273,2.3339981095426547,28287,0.3359508896575364,29.38
GA,Southeast,Rural,92381,2.4944090235005034,38160,0.25579935268074605,41.31
AZ,Southwest,Urban,92050,2.0889625203693645,11785,1.0493101575230852,12.8
UT,West,Rural,91386,2.1894710349506488,16365,0.3528002100978268,17.91
TN,Southeast,Urban,86094,2.176911283016238,16053,0.5072362766278719,18.65
OK,Southwest,Urban,74275,2.067680915516661,6027,0.9895658027600135,8.11
TN,Southeast,Rural,72358,2.2328422565576718,15361,0.21330053345863623,21.23
WA,West,Rural,67360,2.388212589073634,23740,0.3320665083135392,35.24
GA,Southeast,Urban,65947,2.55095758715332,33796,0.28127132394195337,51.25
AZ,Southwest,Rural,65290,2.1823556440496246,10370,0.5911012406187778,15.88
CT,Northeast,Rural,63070,2.377152370382115,20062,0.20832408435072142,31.81
MA,Northeast,Rural,56136,2.295069117856634,17419,0.5139304546102323,31.03
MO,Midwest,Rural,51487,2.4472973760366696,21274,0.3010080214423058,41.32
MN,Midwest,Urban,50070,2.2497104054323946,12469,0.3031555821849411,24.9
CO,West,Rural,46802,2.4889107303106703,18171,0.3180846972351609,38.83
WA,West,Urban,36285,2.27694639658261,9632,1.2233705387901337,26.55
CO,West,Urban,36271,2.3924347274682254,13757,0.7001185520112486,37.93
OR,West,Urban,35823,2.1406359043072887,5039,0.6542165647768193,14.07
IN,Midwest,Urban,33587,2.2890106291124543,9289,0.4662518236222348,27.66
IL,Midwest,Urban,32056,2.6074681806838034,18779,1.0595832293486398,58.58
IN,Midwest,Rural,28983,2.5289997584791086,11292,0.159403788427699,38.96
MT,West,Rural,25448,2.0369773656082995,539,0.07658755108456461,2.12
LA,Southeast,Urban,25236,2.128150261531146,3542,0.41623078142336345,14.04
MI,Midwest,Urban,24375,2.4552615384615386,10522,0.3394871794871795,43.17
IA,Midwest,Rural,24190,2.424183546920215,8603,0.21157503100454733,35.56
MO,Midwest,Urban,22392,2.3331993569131835,6762,0.29751697034655233,30.2
