Temperature(F),Severity,high_severity
57.0,2,0
42.1,2,0
62.1,4,1
73.9,2,0
75.2,3,1
69.1,3,1
68.0,3,1
64.0,2,0
,3,1
60.1,3,1
62.1,2,0
75.9,3,1
73.0,2,0
62.6,2,0
37.0,3,1
64.4,2,0
35.6,2,0
57.9,2,0
52.0,3,1
78.1,3,1
80.1,3,1
57.9,2,0
69.1,2,0
55.0,3,1
63.0,2,0
64.4,2,0
64.9,2,0
62.6,2,0
57.0,2,0
66.9,2,0
60.8,2,0
68.9,3,1
66.0,2,0
69.1,4,1
59.0,2,0
68.0,2,0
66.0,2,0
73.9,3,1
62.1,3,1
55.9,2,0
60.8,2,0
64.9,3,1
53.6,2,0
64.9,3,1
62.6,3,1
59.0,3,1
84.2,3,1
70.0,2,0
64.0,2,0
66.2,2,0
90.0,2,0
73.9,3,1
64.9,2,0
70.0,2,0
64.9,2,0
75.2,2,0
71.6,2,0
78.1,2,0
75.0,2,0
82.4,2,0
65.8,3,1
71.6,2,0
68.0,3,1
93.0,2,0
80.1,2,0
62.1,2,0
88.0,3,1
82.0,3,1
88.0,2,0
87.1,2,0
83.3,2,0
77.0,2,0
64.4,2,0
84.9,3,1
72.0,2,0
72.0,2,0
81.0,2,0
86.0,2,0
77.0,3,1
78.1,3,1
82.9,3,1
84.9,2,0
71.1,3,1
78.1,2,0
84.0,2,0
91.4,2,0
104.0,2,0
95.0,2,0
75.0,2,0
75.2,3,1
82.0,2,0
62.1,2,0
75.9,2,0
78.8,2,0
80.1,3,1
89.6,2,0
77.0,2,0
77.0,2,0
89.1,2,0
82.4,3,1
90.0,2,0
89.6,2,0
78.1,3,1
88.3,2,0
93.9,2,0
,2,0
70.0,2,0
83.3,3,1
86.2,2,0
91.0,2,0
75.9,4,1
84.2,4,1
73.0,2,0
88.3,2,0
87.8,4,1
93.2,4,1
81.0,3,1
87.1,3,1
88.0,2,0
79.0,2,0
84.2,2,0
81.0,3,1
80.1,3,1
75.9,3,1
66.9,2,0
66.2,3,1
72.0,2,0
79.0,2,0
82.0,2,0
73.0,3,1
78.8,2,0
73.4,2,0
82.0,2,0
90.0,2,0
78.1,2,0
59.0,2,0
