State,region,urban_rural,accident_count,high_severity_rate,avg_poi_count
IL,Midwest,Urban,32056,58.58,1.0595832293486398
KY,Southeast,Urban,16049,57.59,0.2626331858682784
GA,Southeast,Urban,65947,51.25,0.28127132394195337
RI,Northeast,Rural,16723,46.56,0.2853554984153561
OH,Midwest,Urban,19101,43.74,0.3551122977854563
MI,Midwest,Urban,24375,43.17,0.3394871794871795
MS,Southeast,Urban,107,42.99,0.102803738317757
MO,Midwest,Rural,51487,41.32,0.3010080214423058
GA,Southeast,Rural,92381,41.31,0.25579935268074605
WI,Midwest,Rural,20100,38.98,0.20880597014925373
IN,Midwest,Rural,28983,38.96,0.159403788427699
CO,West,Rural,46802,38.83,0.3180846972351609
WI,Midwest,Urban,12684,38.49,0.5927940712708925
CO,West,Urban,36271,37.93,0.7001185520112486
NM,Southwest,Rural,2925,37.54,0.10871794871794872
PA,Northeast,Urban,19995,35.85,0.593348337084271
KS,Midwest,Urban,5822,35.61,0.1599106836138784
IA,Midwest,Rural,24190,35.56,0.21157503100454733
WA,West,Rural,67360,35.24,0.3320665083135392
VT,Northeast,Rural,891,33.89,0.12008978675645342
UT,West,Urban,273,33.7,0.11721611721611722
MD,Southeast,Urban,8468,33.12,0.5517241379310345
NM,Southwest,Urban,7058,32.32,0.5976197223009351
IL,Midwest,Rural,132648,32.08,0.655192690428804
NJ,Northeast,Urban,896,31.81,0.23995535714285715
CT,Northeast,Rural,63070,31.81,0.20832408435072142
MA,Northeast,Rural,56136,31.03,0.5139304546102323
TX,Southwest,Rural,103795,30.51,0.292885013728985
MO,Midwest,Urban,22392,30.2,0.29751697034655233
MS,Southeast,Rural,14064,30.04,0.2734641638225256
VA,Southeast,Urban,13634,29.84,0.36196274020830277
OH,Midwest,Rural,96273,29.38,0.3359508896575364
KS,Midwest,Rural,13723,28.91,0.19762442614588646
MA,Northeast,Urban,4876,28.14,1.5424528301886793
KY,Southeast,Rural,15561,27.99,0.5216245742561532
MI,Midwest,Rural,131867,27.86,0.38427354834795663
IN,Midwest,Urban,33587,27.66,0.4662518236222348
WA,West,Urban,36285,26.55,1.2233705387901337
MD,Southeast,Rural,118365,26.54,0.3284247877328602
SD,Midwest,Rural,226,25.66,0.26991150442477874
NY,Northeast,Rural,294761,25.22,0.4811694898578849
MN,Midwest,Urban,50070,24.9,0.3031555821849411
VA,Southeast,Rural,260480,23.58,0.31723740786240784
AL,Southeast,Rural,97671,23.57,0.29775470712903523
NH,Northeast,Rural,10110,22.61,0.23748763600395648
CA,West,Urban,370052,22.04,0.4207165479446132
WY,West,Rural,3065,21.44,0.06525285481239804
NC,Southeast,Rural,97342,21.32,0.3218240841568901
NV,West,Rural,18884,21.31,0.34590129209913156
TN,Southeast,Rural,72358,21.23,0.21330053345863623
NJ,Northeast,Rural,121437,21.19,0.26528158633694837
TX,Southwest,Urban,459747,20.7,0.6113449353666256
TN,Southeast,Urban,86094,18.65,0.5072362766278719
NY,Northeast,Urban,19517,18.54,0.9487113798227187
FL,Southeast,Urban,222821,18.14,0.5807935517747429
UT,West,Rural,91386,17.91,0.3528002100978268
NE,Midwest,Urban,21470,17.63,0.8394038192827201
ME,Northeast,Rural,2435,16.59,0.10759753593429158
CA,West,Rural,1259088,16.06,0.28405957327843645
AZ,Southwest,Rural,65290,15.88,0.5911012406187778
NV,West,Urban,1957,15.48,0.6729688298415942
DE,Southeast,Rural,12813,15.29,0.41395457738234603
AR,Southeast,Rural,18561,14.98,0.1771995043370508
PA,Northeast,Rural,242926,14.63,0.41422079151675817
OK,Southwest,Rural,8586,14.34,0.508269275564873
MN,Midwest,Rural,128541,14.12,0.21540986922460537
OR,West,Urban,35823,14.07,0.6542165647768193
LA,Southeast,Urban,25236,14.04,0.41623078142336345
FL,Southeast,Rural,558075,13.41,0.518822738879183
LA,Southeast,Rural,116718,13.32,0.30981510992306244
AZ,Southwest,Urban,92050,12.8,1.0493101575230852
NE,Midwest,Rural,7021,12.35,0.5815410910126763
SC,Southeast,Rural,371783,12.09,0.2903763754663339
ME,Northeast,Urban,242,11.57,0.2024793388429752
AR,Southeast,Urban,361,11.08,0.18559556786703602
DC,Southeast,Urban,17115,10.83,0.8396728016359918
WV,Southeast,Rural,12760,10.06,0.18463949843260188
OK,Southwest,Urban,74275,8.11,0.9895658027600135
NC,Southeast,Urban,213258,7.56,0.8205835185549897
OR,West,Rural,128335,7.39,0.1657303151907118
DC,Southeast,Rural,176,7.39,0.8352272727272727
ID,West,Rural,9646,7.08,0.4275347294215219
MT,West,Rural,25448,2.12,0.07658755108456461
MT,West,Urban,466,1.5,0.030042918454935622
ND,Midwest,Rural,2980,1.04,0.10805369127516778
